id,name,address,zipcode,city,region,country,lat,lng,telephone,distance
1,Gondal & Co Di Gondal Waheed Aslam,Via Tiziano Aspetti 2,35132,Padova,Veneto,Italy,45.4199944,11.8791413,,
2,Latino Servizio Express - Rosa Ventura Figueroa Vargas,"Via Lepetit 18 Angolo Via Vitruvio 46, 20124 Mi",20124,Milano,Lombardia,Italy,45.4835241,9.2054284,,
3,Punto Servizi - Luca Licciardello,"Via Sempione 27, 20016 Pero Mi",20016,Pero,Lombardia,Italy,45.508786,9.0898453,,
4,Sky Net Snc Di Ortega Penarreta Monica Susana,Via Nizza 25,10125,Torino,Piemonte,Italy,45.0589793,7.6778785,,
5,Best Servizio Pinoy Di Dario Aladin.,"Via Dell’unione, 3",20122,Milano,Lombardia,Italy,45.4622814,9.1873534,,
6,Kashi & Co Di Nadeem Kashif,Cavalcavia Borgomanero 10,35132,Padova,Veneto,Italy,45.6989441,8.4624538,,
7,Ever Fine Di Prome Sadia Akter,Via N. Tommaseo 3/b,35131,Padova,Veneto,Italy,45.416321,11.8780663,,
8,Masoud Khizer,Corso Vittorio Emanuele 111,07100,Sassari,Sardegna,Italy,40.7290061,8.5581852,,
9,Yufly Italia S.R.L.S.,Via Del Ponte Alle Mosse 179/r,50144,Firenze,Toscana,Italy,43.7839883,11.2316805,,
10,Global Services Di Escobar Rojas Arturo Manuel,"Via Padova, 38",20131,Milano,Lombardia,Italy,45.4890403,9.2207493,,
11,Shop@net Di Medrano Carmen,"Via Imbonati Carlo, 23",20159,Milano,Lombardia,Italy,45.4997,9.18359,,
12,Michela Multiservice Di Campos Del Pozo Marilu Mercedes,"Via Orsini Vincenzo Giordano,16",20147,Milano,Lombardia,Italy,45.4627108,9.1344121,,
13,Sora Valerio Mireya Mercedes,"Via Brighenti Costantino E Maria, 40",20155,Milano,Lombardia,Italy,45.4928185,9.1546711,,
14,Malaluan Leticia Soriano,Via Borgo Piccinini 1/c,43121,Parma,Emilia Romagna,Italy,44.8019462,10.324893,,
15,Cheema Business Point Sas Di Cheema Asjad Hussain E C,Corso Del Popolo 69,35131,Padova,Veneto,Italy,45.4164927,11.8793056,,
16,Cheema Business Point Sas Di Cheema Asjad Hussain E C Ii,Via Trieste 29,35131,Padova,Veneto,Italy,45.4139482,11.8786752,,
17,Afzal Muhammad,"Via De Raffaele De Cesare, 1/a",70122,Bari,Marche,Italy,41.1197253,16.8690948,,
18,Afzal Muhammad Ii,Via Davanzatti 28/a,70121,Bari,Marche,Italy,41.1201889,16.8753662,,
19,Cas Aileen Grace I,Via Giambellino 90,20146,Milano,Lombardia,Italy,45.4488118,9.1424454,,
20,Cas Aileen Grace Ii,Via Camozzi Gabriele 1,20152,Milano,Lombardia,Italy,45.46174,9.09369,,
